read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
3061_MCSS56_1	363	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3062_MCSS56_1	353	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	34.0	22	17	5	0.7727272727272727	1.0	63	80	False	False	False	NA
3063_MCSS56_1	368	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3064_MCSS56_1	365	R1	44.0	22	22	0	1.0	1.0	4	26	R1	29.5	22	17	5	0.7727272727272727	1.0	14	36	True	False	False	NA
3065_MCSS56_1	355	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	34.0	22	17	5	0.7727272727272727	1.0	63	80	False	False	False	NA
3066_MCSS56_1	367	R1	44.0	22	22	0	1.0	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3067_MCSS56_1	365	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3068_MCSS56_1	368	R1	42.0	22	22	0	1.0	1.0	5	28	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3069_MCSS56_1	387	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	50	72	R1_rc	34.0	22	17	5	0.7727272727272727	1.0	63	80	False	False	False	NA
3070_MCSS56_1	371	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	44.0	22	22	0	1.0	1.0	52	74	False	True	False	NA
3071_MCSS56_1	352	R1_rc	29.5	22	17	5	0.7727272727272727	1.0	48	70	R1_rc	20.5	22	12	10	0.5454545454545454	1.0	66	81	False	False	False	NA
3072_MCSS56_1	368	R1	40.0	22	21	1	0.9545454545454546	1.0	5	27	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
3073_MCSS56_1	291	R1	44.0	22	22	0	1.0	1.0	5	27	R1_rc	44.0	22	22	0	1.0	1.0	55	77	True	True	True	R1|R1_rc
3074_MCSS56_1	366	R1	39.5	22	21	1	0.9545454545454546	1.0	6	29	R1	29.5	22	17	5	0.7727272727272727	1.0	13	35	True	False	False	NA
